,comment,date
0,"Photo by AsianWiki on August 03, 2020. 이미지: 사람 1명, 텍스트, 근접 촬영.","August 03, 2020"
1,"Photo by 임스의 영화 한번 톡 on August 25, 2020. 이미지: 사람 1명, 문구: '임스의 영화 한번 톡 https://blog.naver.com/hijames. 국가대표 최고를 향한 추락 디바 9월 개봉 영화'.","August 25, 2020"
2,"Photo shared by @kstar_myfavorite on May 30, 2020 tagging @illusomina. 이미지: 사람 1명.","May 30, 2020"
3,"Photo shared by Sky Cheng on July 28, 2020 tagging @illusomina. 이미지: 사람 1명, 서 있음.","July 28, 2020"
4,"Photo by 8la8la劇樂部 💌 韓劇 | 劇評 | 心得 | 解析 on September 08, 2020. 이미지: 사람 4명, 텍스트.","September 08, 2020"
5,"Photo by 세리박스 on September 10, 2020. 이미지: 사람 1명, 근접 촬영.","September 10, 2020"
6,"#kimwoobin #김우빈
#Shinmina #shinminah
#신민아 
#AMEntertainment",
7,"#크리스마스 #신민아 #광고스타그램 #쿠론 #일상#일스타스램 #fw #newarrival #신상 #ad #군산 #전주#쿠론군산 
#익산 #Shinmina #shinminah #AMEntertainment",
8,"Photo by リリー 韓ドラ垢 on August 11, 2020. 이미지: 사람 1명, 실내.","August 11, 2020"
9,"😂💪💪💜
・
#Repost@super_d.j  story~
・
@super_d.j 
#어제 
#JTBC #월화드라마 #보좌관2 #세상을움직이는사람들
#이정재 #신민아 #이엘리야 #김동준
#정만식 #김갑수 #정웅인 #박효주 #조복래
#KIMDONGJUN #金桐俊 #桐俊 #ドンジュン#キムドンジュン
#메이저나인 #메이저9 #MAJOR9l",
10,"Photo by 사계절의 뀨🍃 on August 28, 2020. 이미지: 사람 3명, 서 있는 사람들, 화면, 텍스트.","August 28, 2020"
11,"洒店一場所謂「床戲🛏」係咁拍嘅🤭🤣
呢場戲係講金英浩幫珠恩駁較！
#蘇志燮 #소지섭 #SoJiSub #SoGanzi #51k #ソジソブ
2015 KBS #塑身女神 #我的維納斯 #오마이비너스  #OhMyVenus #新慜娥 #申敏兒 #신민아",
12,"Photo by 정윤경 on May 29, 2020. 이미지: 사람 1명, 문구: 'Hugreen 창문을열지않아도 자동으로환기가되는 #자동환기칭'.","May 29, 2020"
13,"Photo shared by @kstar_myfavorite on July 07, 2020 tagging @daraxxi, @bn_sj2013, @illusomina, @soohyun_k216, @jennierubyjane, @leejehoon_official, and @jxxvvxxk. 이미지: 사람 1명 이상, 근접 촬영, 실내.","July 07, 2020"
14,"Photo by @eun_yang._ on September 07, 2020. 이미지: 사람 1명, 앉기.","September 07, 2020"
15,"가방을 둘러맨 그 어깨가~ 어깨가 아름다워~🎶🎵🤣
.
.
✔최이사와 우식의 이상한 낌새를 눈치 챈 민실장은 영호에게 조심하라고 당부한다. 영호의 집에서 나가기로 한 주은은 영호와 준성, 지웅과의 특별한 시간을 계획하는데...
.
.
.
#장준성_넘나_멋짐😍  #존킴  #소지섭  #헨리  #신민아
.
.
.
#성훈  #배우성훈  #sunghoon  #roiii  #로이방  #한류스타
.
.
.
📌http://vod.kbs.co.kr/m/index.html?source=episode&sname=vod&stype=vod&program_code=T2015-0607&program_id=PS-2015224268-01-000&section_code=03&broadcast_complete_yn=Y&local_station_code=00#refresh",
16,"Photo shared by @kstar_myfavorite on May 31, 2020 tagging @daraxxi, @bn_sj2013, @doonabae, @illusomina, @soohyun_k216, @management_soop, @jennierubyjane, and @leejehoon_official. 이미지: 사람 2명, 서 있는 사람들, 문구: 'NE KINGD'.","May 31, 2020"
17,"Photo by KBS 한국방송공사 on August 27, 2020. 이미지: 사람 10명, 서 있는 사람들.","August 27, 2020"
18,"Photo by 정윤경 on May 30, 2020. 이미지: 사람 1명, 문구: 'Hugreen 창문을열지않아도 자동으로환기가되는 #자동환기창'.","May 30, 2020"
19,"Reposted from @megabox_plus_m (@get_regrann) -  수면 위로 떠오르는 욕망과 광기
둘이 될 수 없는 자리🥇
 
🌟<디바> 메인 예고편 공개 기념 EVENT🌟
 
내 인생에서 광기가 최고치를 찍었던 순간은?
필수 해시태그+개인 SNS에 게시물 공유 후 댓글에 기대평 남기면
추첨을 통해 예매권을 드립니다🎁 (~8/27, 당첨자 개별고지)
 
필수 해시태그👑 #디바 #디바메인예고편공개
 
#신민아 #이유영 #이규형 #9월대개봉",
20,"Photo shared by @kstar_myfavorite on August 27, 2020 tagging @illusomina. 이미지: 사람 1명, 앉기.","August 27, 2020"
21,"Photo by 신디더퍼키(by.표범엉니) on September 10, 2020. 이미지: 사람 2명.","September 10, 2020"
22,"Photo shared by @_min_a_shin on July 17, 2020 tagging @illusomina, and @ament_official. 이미지: 사람 1명, 문구: '@COURONNE OFFICIAL'.","July 17, 2020"
23,"비비에 러브 스토리♥️

로저비비에가 이야기하는 사랑에 대한 가치를, 브랜드 앰버서더로 수년간 활동 중인 민아씨가 직접 자신만의 시각과 감성으로 해석해 기획부터, 연출, 편집, 연기까지 모든 과정을 이끌어낸 영상 ‘비비에 러브 스토리(A Vivier Love Story)’를 공개합니다!👏👏

약 4개월간 시놉시스를 직접 구성하고 로케이션 헌팅, 배우 캐스팅, 소품 및 스타일링, 음악 선곡, 편집 등 하나하나 열성적으로 준비하고✔️ 모든 스태프들과 세심하게 소통하며 자신이 담고 싶은 이야기를 담아낸 민아씨💛

#따뜻하고아름다운이야기 #이영상안본사람없게해주세요
#신민아 #ShinMinA #ShinMinAh #申敏儿
#로저비비에 #Rogervivier #DirectorShin 
#비비에러브스토리 #AVivierLoveStory",
24,"Photo by Ji Mu Optic House 吉目眼镜屋 in Ji Mu Optic House. 이미지: 사람 1명, 안경, 근접 촬영.",
