,comment,date
0,"Photo shared by 김지원 🌸 딩원~❤ KIM JI WON ❤ on May 30, 2020 tagging @salt_ent, and @geewonii. 이미지: 사람 1명, 셀카, 근접 촬영.","May 30, 2020"
1,"Photo by 아키쿠로빠더 on April 22, 2020. 이미지: 개.","April 22, 2020"
2,Photo by cocotown.net　韓国コスメ　韓国情報 in Japan. 이미지: 사람 1명.,
3,"Photo by 내 동생 조예삐 ʕ•ᴥ•ʔ on March 06, 2020. 사진 설명이 없습니다..","March 06, 2020"
4,"Photo shared by @peachbellas on May 06, 2020 tagging @ryuseungryong_, @justjangdonggun, and @gokyungpyo. 이미지: 사람 2명, 텍스트.","May 06, 2020"
5,"Photo by @bspo_movny on August 25, 2020. 이미지: 사람 1명 이상.","August 25, 2020"
6,"Photo shared by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on May 02, 2020 tagging @kimokvin. 이미지: 밤.","May 02, 2020"
7,"Photo by SAKI on August 08, 2020. 이미지: 사람 3명, 텍스트.","August 08, 2020"
8,"Photo by asuko on March 07, 2020. 이미지: 그림.","March 07, 2020"
9,"Photo by 지닠_영화 on April 03, 2020. 이미지: 사람 2명, 문구: '우발적 사고 잘못된 선택 죽이려던 게 아니었어..."" 7년 전 그날 밤, 모든 것이 시작되었다 살해당한 지독한 복수의 복수의 시작 ""내가 끝내야 끝나는 거야"" 기년의 2 되돌릴 바'.","April 03, 2020"
10,"~ Love this, my favorite!!
Jang Dong Gun, Song Joong Ki, Kim Ji Won (@geewonii) and Kim Ok Vin (@kimokvin) as Tagon, Eunseom/Saya, Tanya and Taealha for Arthdal Chronicles // See you next season 2!!",
11,"Photo by ARTHDAL CHRONICLES 𝒐𝒏𝒍𝒚 on April 16, 2020. 이미지: 사람 8명, 재미있는 이미지, 문구: 'Eunseom Tanya ARTHDALCHRONICLES CLES Tagon EL M国 Taealha MINATED MI Saya Moobaek Yangcha Noonbyul Karika'.","April 16, 2020"
12,"Photo by えんちゃん on April 06, 2020. 이미지: 사람 1명, 문구: 'THE ELCBRITY CREATOR 001 더셀러브리티 다니엘헤니 DANIELENNEY 유노윤호 U-KNOW SHINDONG 크레용판 CRAYON JAEKYUNG NGKYOUNGHO VICTORIA 저스틴비버 JUSTINBIEBER JUNGMIN 오다기리죠 ODAGIRIJOE 창간호 장동건 JANG DONGGUN'.","April 06, 2020"
