N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"56,600","2,200",+4.04%,100,"3,378,897","5,969,783",55.76,"19,095,335",17.71,8.69,
2,SK하이닉스,"78,600","3,100",+4.11%,"5,000","572,210","728,002",47.14,"4,671,097",25.03,4.25,
3,NAVER,"334,000","1,500",+0.45%,100,"548,640","164,263",55.33,"389,521",77.86,10.56,
4,LG화학,"765,000","23,000",+3.10%,"5,000","540,031","70,592",36.19,"493,701",131.87,1.84,
5,삼성바이오로직스,"786,000","16,000",+2.08%,"2,500","520,057","66,165",10.19,"85,130",151.42,4.77,
6,셀트리온,"298,000","2,500",-0.83%,"1,000","402,281","134,994",21.22,"262,928",100.51,11.19,
7,삼성전자우,"48,100","1,000",+2.12%,100,"395,808","822,887",87.74,"2,390,488",15.05,N/A,
8,현대차,"175,500",500,-0.28%,"5,000","374,988","213,668",31.84,"1,023,540",25.29,4.32,
9,카카오,"408,500","3,500",-0.85%,500,"359,537","88,014",32.09,"482,773",-233.43,-5.81,
10,삼성SDI,"453,500","1,500",+0.33%,"5,000","311,847","68,765",41.95,"194,625",166.61,2.94,
11,LG생활건강,"1,492,000","7,000",-0.47%,"5,000","233,023","15,618",45.24,"9,695",34.03,20.32,
12,현대모비스,"234,000","1,500",-0.64%,"5,000","222,428","95,055",43.73,"209,473",12.75,7.28,
13,삼성물산,"110,000","1,500",+1.38%,100,"205,576","186,887",14.43,"267,911",19.22,4.77,
14,SK텔레콤,"240,000","2,500",-1.03%,500,"193,790","80,746",35.71,"178,673",19.69,3.92,
15,엔씨소프트,"840,000","10,000",-1.18%,500,"184,414","21,954",49.71,"31,588",35.38,14.72,
16,기아차,"42,400",200,+0.47%,"5,000","171,874","405,363",38.86,"805,677",16.15,6.50,
17,넷마블,"193,000","20,000",+11.56%,100,"165,607","85,807",22.62,"2,603,279",79.85,3.54,
18,POSCO,"189,000","1,000",+0.53%,"5,000","164,783","87,187",52.22,"129,809",17.97,4.18,
19,KB금융,"38,000",300,+0.80%,"5,000","158,007","415,808",65.55,"796,698",4.97,8.92,
20,SK,"216,500","1,000",-0.46%,200,"152,330","70,360",22.28,"92,397",-417.15,4.31,
21,신한지주,"30,200",0,0.00%,"5,000","144,174","477,397",62.54,"874,894",4.54,9.09,
22,LG,"83,200",100,-0.12%,"5,000","143,568","172,557",34.90,"149,191",17.76,5.87,
23,SK바이오팜,"183,000","1,500",+0.83%,500,"143,313","78,313",2.18,"429,382",-166.36,-313.66,
24,LG전자,"86,200",300,-0.35%,"5,000","141,064","163,648",34.32,"433,744",34.59,0.22,
25,SK이노베이션,"150,500","2,500",+1.69%,"5,000","139,161","92,466",23.58,"468,831",-6.16,-0.20,
26,한국전력,"21,050",100,-0.47%,"5,000","135,133","641,964",17.68,"2,057,086",-14.67,-3.42,
27,삼성생명,"63,600",500,-0.78%,500,"127,200","200,000",12.21,"487,759",14.14,3.26,
28,삼성에스디에스,"160,000","1,500",-0.93%,500,"123,804","77,378",12.58,"52,556",23.75,11.76,
29,KT&G,"84,000",700,-0.83%,"5,000","115,326","137,292",42.44,"173,124",11.23,12.39,
30,아모레퍼시픽,"172,000",500,+0.29%,500,"100,549","58,458",31.12,"104,827",86.48,5.36,
31,삼성전기,"130,000","1,500",+1.17%,"5,000","97,102","74,694",32.63,"877,404",40.01,10.18,
32,삼성화재,"189,500","2,000",-1.04%,500,"89,775","47,375",47.13,"36,624",14.48,4.85,
33,하나금융지주,"28,600",100,+0.35%,"5,000","85,869","300,242",64.59,"686,487",3.39,8.77,
34,신풍제약,"156,500","1,500",-0.95%,500,"82,922","52,985",6.87,"2,308,421","4,742.42",0.80,
35,고려아연,"401,500","2,000",-0.50%,"5,000","75,763","18,870",24.23,"19,112",13.77,9.76,
36,한화솔루션,"44,900","5,350",+13.53%,"5,000","71,779","159,864",19.84,"8,352,470",-43.34,-4.02,
37,한온시스템,"12,850",300,-2.28%,100,"68,593","533,800",20.95,"680,463",41.19,14.98,
38,S-Oil,"57,400",100,+0.17%,"2,500","64,623","112,583",74.26,"178,853",-7.89,1.01,
39,미래에셋대우,"9,700",70,-0.72%,"5,000","62,596","645,316",13.28,"1,652,652",11.55,7.56,
40,한국조선해양,"88,100",300,+0.34%,"5,000","62,351","70,773",16.54,"129,403",59.25,1.40,
41,우리금융지주,"8,630",10,+0.12%,"5,000","62,332","722,268",26.32,"652,717",4.55,N/A,
42,KT,"23,800",50,-0.21%,"5,000","62,145","261,112",45.29,"380,162",10.37,4.61,
43,롯데케미칼,"180,500",0,0.00%,"5,000","61,867","34,275",29.50,"118,625",34.44,5.51,
44,기업은행,"8,290",70,+0.85%,"5,000","61,235","738,664",11.75,"791,856",3.97,7.36,
45,CJ제일제당,"400,500","1,000",-0.25%,"5,000","60,292","15,054",22.41,"31,354",10.08,3.16,
46,코웨이,"80,300",800,-0.99%,500,"59,261","73,800",60.36,"63,260",16.88,30.74,
47,오리온,"138,000","1,000",-0.72%,500,"54,560","39,536",44.37,"32,203",20.59,14.24,
48,포스코케미칼,"88,900",200,+0.23%,500,"54,219","60,988",7.53,"253,090",104.83,11.57,
49,KODEX 200,"31,655",510,+1.64%,0,"53,560","169,200",12.25,"3,304,415",N/A,N/A,
50,LG디스플레이,"14,900",0,0.00%,"5,000","53,315","357,816",21.38,"1,854,914",-1.83,-22.35,
51,현대글로비스,"140,500","1,500",-1.06%,500,"52,688","37,500",34.56,"75,095",9.57,11.25,
52,LG유플러스,"12,000",100,-0.83%,"5,000","52,393","436,611",31.98,"733,019",10.48,6.30,
53,SK케미칼,"416,500","1,000",+0.24%,"5,000","48,903","11,741",11.69,"130,928",21.43,1.51,
54,강원랜드,"21,350",0,0.00%,500,"45,676","213,940",25.16,"339,325",-224.74,9.16,
55,한진칼,"76,400",900,-1.16%,"2,500","45,206","59,170",17.25,"64,571",-11.76,-17.56,
56,유한양행,"66,700",0,0.00%,"1,000","44,593","66,857",21.24,"229,405",26.91,2.43,
57,아모레G,"52,100",0,0.00%,500,"42,961","82,458",20.74,"54,159",71.08,4.12,
58,두산중공업,"16,950",200,+1.19%,"5,000","42,907","253,141",7.63,"10,085,935",-3.34,-14.73,
59,한미사이언스,"60,400",400,+0.67%,500,"39,871","66,011",2.00,"146,581",140.79,4.73,
60,LG이노텍,"165,000","4,000",-2.37%,"5,000","39,051","23,667",34.15,"152,986",17.08,4.73,
61,맥쿼리인프라,"11,000",50,-0.45%,0,"38,395","349,044",18.91,"202,461",N/A,N/A,
62,한국금융지주,"68,600","2,400",+3.63%,"5,000","38,228","55,726",33.61,"399,602",6.49,18.14,
63,한국타이어앤테크놀로지,"30,250",650,-2.10%,500,"37,472","123,875",38.00,"178,478",12.65,6.03,
64,한미약품,"310,000","1,000",+0.32%,"2,500","36,713","11,843",14.78,"42,038",101.84,7.30,
65,현대건설,"32,750",50,+0.15%,"5,000","36,469","111,356",22.01,"290,352",10.84,6.30,
66,현대중공업지주,"230,500","2,000",+0.88%,"5,000","36,416","15,799",18.55,"15,910",-16.25,2.20,
67,CJ대한통운,"158,000","1,000",-0.63%,"5,000","36,044","22,812",20.73,"29,468",39.88,1.41,
68,이마트,"125,500","2,500",-1.95%,"5,000","34,984","27,876",30.51,"179,433",6.30,2.76,
69,현대제철,"25,700",100,-0.39%,"5,000","34,296","133,446",19.06,"322,649",-12.75,0.10,
70,SKC,"91,000",600,-0.66%,"5,000","34,156","37,535",8.77,"175,061",32.97,3.86,
71,삼성카드,"28,950",0,0.00%,"5,000","33,541","115,859",9.81,"46,740",8.95,5.04,
72,에스원,"88,100",100,-0.11%,500,"33,477","37,999",55.85,"29,400",22.63,11.32,
73,삼성중공업,"5,300",40,+0.76%,"5,000","33,390","630,000",15.30,"2,478,952",-1.83,-21.88,
74,대림산업,"94,000",200,+0.21%,"5,000","32,712","34,800",40.55,"174,831",5.29,11.74,
75,대한항공,"18,650",300,+1.63%,"5,000","32,490","174,210",11.81,"1,262,595",-2.78,-22.09,
76,현대차2우B,"89,000",600,+0.68%,"5,000","32,472","36,485",62.73,"26,276",12.82,N/A,
77,롯데지주,"30,500",100,+0.33%,200,"31,997","104,909",11.43,"76,605",-4.60,-5.21,
78,DB손해보험,"44,850",600,-1.32%,500,"31,754","70,800",39.87,"69,811",5.87,6.92,
79,더존비즈온,"106,500","1,000",+0.95%,500,"31,601","29,673",46.29,"110,847",66.48,18.78,
80,GS,"33,600",50,-0.15%,"5,000","31,220","92,915",20.92,"134,664",-27.79,6.26,
81,금호석유,"99,500",0,0.00%,"5,000","30,315","30,468",33.29,"47,539",11.38,11.84,
82,쌍용양회,"6,010",80,-1.31%,"1,000","30,282","503,860",2.92,"1,544,473",22.68,7.02,
83,녹십자,"258,500","1,000",+0.39%,"5,000","30,210","11,687",18.42,"105,505",505.87,-0.35,
84,호텔신라,"76,500",700,+0.92%,"5,000","30,025","39,248",21.97,"831,168",-40.45,20.16,
85,LG화학우,"385,500","13,500",+3.63%,"5,000","29,640","7,689",54.62,"82,735",66.45,N/A,
